Topic;ID;Question;Reference;Enviroment;Resolution
;;;;;
Reporting data seems incorrect or behind;Answer ID 2817;Many of ourÃ‚Â agents are making changes, but when we open our reports, those changes don't appear to be made for several minutes.;['Answer ID 5094', 'Answer ID 9093', 'Answer ID 5168'];   Custom Report Options,Ã‚Â Data source Analytics Oracle B2C Service,Ã‚Â All versions;"  There are two databases your report can use: the operational database and the replication server. The replication server is a copy which is constantly being Â updated from Â the operational database. If the replication server falls behind in syncing to the production server, then updates to reports will not show immediately. Â  Â In most cases, your replication connection will be up to date. However, there may be times when the replication server falls behind and replication may be up to 72 hours old. This is normal &amp; expected behavior. Most of the replication servers have multiple database servers replicating to them, so heavy input and output on any one of the production servers can cause replication to fall behind on the replication server. Other factors that may cause a server to fall behind include:  Backups being performed Multiple reports running on the replication server Poorly formed database queries being run against the replication server Table alters running against large database tables. These originate from custom field and custom object deployments along with alters initiated on the production site when the upgrade site is created.  These actions lock database tables and prevent the replication process from writing to the replication server. Our Cloud Operations department constantly monitors these replication servers. When a server does fall behind, our staff must wait for the process to finish that has caused the delay. Once the process finishes, the replication server must catch up to bring the production server and replication server in sync, which can take some time on a high volume site. For reports where real-time information is needed, you should use the operational database. This would include reports Â such as ""My Inbox"" that run on small amounts of data but need to have the very latest data. For large reports that run on historic data, such as a report that analyzes incident creation rates over the last 6 months, you should use the replication server. Â This Â allows you to run larger queries, but may not have the last few updates made today. Â  Reports using the replication server will not allow you to use the ""Fill Inbox"" button, since the data that they are using is potentially old data. To determine which database your report is using, follow the steps below:  Open the report for edit Â  On the Home tab select the ""Options"" button and then ""More Options""   Â   Â   Â   Â   Â  Â    The Edit Settings dialog will open. Near the bottom there is a label ""Data Source"" and you can choose either ""Report Database"" or ""Operational Database"".   Â   Â   Â   Â   Â   Â     For Queuing and Data Source Options for Standard Reports, Â refer to Answer ID 5094: Standard report is queuing. For data source information in dashboards, see Answer ID 9093: All reports within a dashboard must run against a single database. Other selections under Data Source: Allow server to change the data source as necessary: Select this check box to allow Â Oracle B2C Service to automatically change the data source if necessary to allow the report to run. For example, if a report is configured to run on the operational database but is unable to do so due to data constraints, selecting this check box allows the report to run on the report database. Clearing this check box forces reports to run on the data source that is selected. Â  This feature appears in November Â 2009 and later releases. NOTE: This check box is selected by default when you create a report and is also automatically selected any time the data source is changed on the Edit Settings window. Set report to deferred execution: Select this check box to automatically queue your report when it runs. Â  Â  Â  NOTE: If this option is not selected but the report is automatically queued the next time it is run due to meeting queuing criteria, the 'Set report to deferred execution' check box is automatically selected. To prevent the report from being queued when it is next run, edit the report and clear this check box. Tracking functionality is available in Â reports in regards to the particular databases. They now keep track of whether or not a person has set the database used in the report. If a Â user has not Â specified which Â database the report will use and a Â user subsequently Â tries to run the report on more data than is allowed by the operating database, then the report will automatically switch to using the replication server. If the report is edited, it will revert back to using the operational database. To stop this automatic switching from occurring, edit the report and then specify a database. This will mark the database as ""user set"" and the report will no longer switch. For more information on changing report options, see Â the 'Selecting report options' section in online documentation for your version. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Chat estimated wait time information;Answer ID 2819;Is it possible to configure the wait time information in Chat?;['Answer ID 5168'];   Chat - Enduser page, Configuration;"  There are a few configuration settings that control Â the Â average wait time for Chat. Wait time sampling You can configure the estimated wait time and the average wait time based on calculations. Â The average wait time and estimated wait time are updated in real time. Â  If the wait time is exceeded, a configurable message is displayed to the customer, until a new wait time can be calculated. Message shown to customer: Â  You are currently number 1 in the queue. Â  We apologize for the delay. We will assign you to an agent as soon as one is available. The average amount of time a customer has to wait is 00:003.     To configure the additional wait time information use the following messages and configuration settings:      Â Key   Â Description        Â AVERAGE_WAIT_TIME_SAMPLES  Specifies the number of preceding chat wait time samples to use when calculating the average wait time for a queue. Minimum is 2 and maximum is 100. Default is 10.      Â ESTIMATED_WAIT_TIME_SAMPLES  Specifies the number of preceding chat wait time samples to use when calculating the estimated wait time for a queue. Minimum is 2 and maximum is 100. Default is 10.      Â IDLE_QUEUE_WAIT_TIME_RESET_SECONDS  Specifies the amount of time in seconds of no queue activity after which wait info values will be reset. Minimum is 300. Default is 14400 seconds (4 hours).      Â MIN_WAIT_INFO_UPDATE_SECONDS  Specifies the amount of time in seconds between wait time updates if queue positions are not changing. Minimum is 10. Default is 30.     Path to settings: Â  Select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; search by Key For more information, refer to the 'Chat for customers' section (path: Chat &gt; Chat &gt; Chat for customers) in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Creating new SLAs rather than modifying existing ones;Answer ID 2820;Why are the changes that I've made to my SLA not affecting contacts and organizations as before?;['Answer ID 4191'];   Service Level Agreements (SLAs);"  Once an SLA has been applied it is best to not make any modifications to it, but rather create a new SLA with your changes instead. When an SLA is modified in the database, the new version is not automatically applied to the contact and organization records. Â Instead, you must remove the older SLA instance and save the contact or organization record, then Â the updated SLA can be applied to the contact or organization record.  Options: 1. Â  Â  Â  Â  Â Manually go through each contact and/or organization and disable the original SLA and then apply the new version of the SLA to the contact and/or organization records. Â  Â Note that SLAs can either be applied at the organization level (which automatically applies the SLA to all associated contacts), or can be applied to individual contact records which have no organization association. Â  Â Therefore you may need to edit either contacts or organizations, or both. 2. Â  Â  Â  Â  Â To multi-edit contacts and organizations: Option 1 (to edit affected contacts):  Create a new rule with ""THEN"" actions that would ""terminate existing SLA"", and ""create SLA instance"". Create a report containing all the contacts or organizations that have the older version of the SLA applied. Export this data to a .csv file. Using the Data Import Â Wizard, upload the contacts, specifying that you want the contact rules to run against these contacts. Once completed, disable or delete this rule to prevented accidental activation.  Option 2 (to edit affected contacts and/or organizations):   Create a contact Â and/or organization radio type custom field. Edit your Contact and/or Organization Multi-edit workspace to include your new contact or Organization custom field. Create a new contact and or organization rule with the new custom field as the ""IF"" condition, and the ""THEN"" actions that would ""terminate existing SLA"", and ""create SLA instance"" Create a report that will show you all contacts or organizations with the old version of the SLA applied. Run your report and multi-edit the resulting contacts or organizations. Â  Â Choose to edit the custom field value. Â  Â This will trigger the contacts or organizations to be updated, which will cause them to run through the contact or organization rules, and trigger your new rule, which will replace the old version of the SLA, with the new version of the SLA."
;;;;;
Desktop Workflow Best Practices;Answer ID 2824;Here are some Desktop Workflow Best Practices to help you get the most out of this feature.;['Answer ID 5168'];   Best Practices  Desktop Workflow Introduced in the August 2009 version;"  Desktop Workflow can be complicated to understand. Â  Here are some best practices to make the utilization of this feature easier. Getting Started  Be sure to understand the business use case first before attempting to build it in the Workflow designer. Â  Â Create a detailed map of what you want to accomplish and sketch out a diagram to illustrate the business case and flow. Have a good understanding of when to use Agent Scripting, Workflows, Guided Assistance, rules, etc. Have a good understanding of how scripts and workspaces interact with server rules and understand the relationships between them.  Process Tips  There are multiple places to put logic in a workflow: Â  Â in a decision point, in a connector, or inside an element like a script or a workspace. The best place will depend on your use case. Â  Â Be sure to consider manageability of the workflow when making this decision. Scripting and/or Workflow can effectively replace complicated Workspaces with lots of rules by breaking the workspace up into multiple script pages or multiple workspaces joined using workflow decisions. Â  Â This can dramatically improve application performance. When using workspace rules to hide or display tabs or panels on a workspace, utilize the hidden property in the workspace. When hiding or displaying fields on a workspace, one option which will improve performance is to put them into multiple tabs or panels Â and then hide the tab or panel rather than each field. Use scripting when you want to collect data and change fields. Use guided assistance when you want to just guide the agent and do not need to collect or change data. Use custom fields to manage workflow state. Use workflow to update custom fields depending on where an agent is in a flow. Example: When an Agent completes step 2 of a flow, update a field with ""2"". Â  Â The flow could then be restarted at a later time and an initial decision point could take them directly to step 2, skipping step 1.  Manageability Tips  Break up complicated workspaces and scripts with lots of contextual rules or pages into multiple workspaces or scripts. In addition to improving performance, this will greatly improve manageability when Â changes occur. Compartmentalize and isolate functions in their own routine, so they can be re-used. Â  Â This will increase the reusability of workspaces and scripts.  For additional information, refer to the 'Desktop Workflows' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
How to decrypt a data dump;Answer ID 2825;What are the instructions for a customer to decrypt a data dump we send them?;['Answer ID 5168'];   Decrypt, Data Export;"  Your Data Export is delivered in a standard MySQL export format. You can request a Data Export as well as other Oracle Consulting engagements by contacting your Sales Account Manager. They will be available to answer any questions you may have. If you have had a Data Export performed and are in possession of the Data Export URL and passphrase please see decryption instructions below. If you do not have the technical ability to parse or understand your Data in the format provided, please contact your Sales Account Manager and they can engage you with our Oracle Consulting group. GPG Decryption How to:  Download decryption software such as GPG4Win a. http://www.gpg4win.org/download.html b. Download the latest stable version Install GPG4Win (May require a system restart) Open GPG4Win (called Kleopatra) Click on File &gt; Decrypt/Verify Files, navigate to your .gpg file. Â  Â    This will ask for your passphrase. Enter the passphrase provided by Oracle B2C Service and choose the directory where you would like your files unzipped.  Hints:    Be absolutely sure you enter the correct passphrase. If you are not sure of any of the characters in the passphrase cut and paste the character into a text editor and change the font. This may help to make any ambiguous characters clear.  Be sure to unzip the directory to a secure location with enough storage space. Data Exports are very large files.  If the unzipped folder appears empty, be sure to uncheck ""Input file is an archive; unpack with: "" in GPG4Win (Kleopatra)       A successful Data Export and extraction will result in several files in SQL format or CSV. The steps required to migrate data from one database to another will require a Database Administrator. The full Data Dictionary is not available outside of the application. However, it is possible to copy/paste information from the Data Dictionary. It may be useful to do this for all tables you know will be of use to create your own abridged version of a data dictionary resource. For further assistance, our Oracle Consulting groups are happy to help."
;;;;;
Customer Portal error notifications and warnings;Answer ID 2827;Do I have any way of knowing about errors or potential problems when designing my Customer Portal pages?;['Answer ID 5168'];   Customer Portal Oracle B2C Service, all versions;"  The Customer Portal development area includes messages regarding important errors, warmings Â and notifications. From the Customer Portal admin page (i.e. https://&lt;vhostname&gt;.custhelp.com/ci/admin) &gt; select View Development Area. Select the ""Customer Portal Development Area"" bar at the top to expand the Errors and Warnings listing. Â   Collapsed notification window (click to enlarge)   These messages are meant to give developers useful debugging and widget information:    Expanded notification window (click to enlarge)  Errors and warnings include those generated from PHP and JavaScript, and widget information includes the notification that a page set includes deprecated widgets. For more information on handling compatibility warning messages, refer to current Â Documentation for Oracle B2C Service Products."
;;;;;
Customer Portal accessibility standards;Answer ID 2829;What information is available forÃ‚Â assessing my Customer Portal site's conformance with accessibility standards?;['Answer ID 5168'];  Accessibility; Oracle is committed to building standards-based software to help customers reduce complexity and get the most out of existing technology investments, and this commitment extends to our approach to accessibility. Oracle uses industry-standard technologies such as HTML, javascript and Java to render most user interfaces, allowing support for assistive technology (AT) devices, such as screen readers and magnifiers, that are designed to interoperate with those same programming languages. Information pertaining to Oracle's Accessibility program can be found at http://www.oracle.com/accessibility.
;;;;;
Householding - email address sharing;Answer ID 2831;If our organization works with a group of related contacts, how can I associate multiple contact records with a single email?;['Answer ID 5653', 'Answer ID 5168'];   Email Sharing (householding) Oracle B2C Service, All supported versions;  Email address sharing allows a family or a team to maintain individual contact records while utilizing a single email address.    When shared contact addresses are in different fields (for example, contacts.email_alt1 and contacts.email_alt2), the system selects the contact whose address is in the field of highest precedence (contacts.email_alt1). However, if the shared addresses are in the same field (for example, both are in contacts.email_alt1), the system attempts to match First Name and Last Name fields values, if available. If no match is found based on field precedence or name values, the system selects the contact record last updated in the database. The simplistic duplicate criteria includes the login field. A login must be unique for each contact if Email Address Sharing is enabled. Â  Â Note: The login field is case sensitive meaning 'user' is different than 'User'. Contact records that share the same email address must have a unique login, or, for contacts without a login, they must include a unique combination of first name and last name, as duplicate contact records cannot exist in the knowledge base. For example, Bill Short and Bill Short (same name) can share the same email address as long as they have different logins. If multiple contacts' logins are left blank, their first or last name must be unique. In this case, Bill Short and William Short can share the same email address, since each name is unique. Email addresses associated with a single contact record must be unique-that is, for a single contact, the values of contacts.email, contacts.email_alt1, and contacts.email_alt2 cannot contain the same address. The contact-matching process applies to areas of Oracle B2C Service that associate contacts by email address, including chats, mailings, web forms, site feedback, Techmail transactions, and Ask a Question requests submitted with only an email address. Because email address sharing impacts several functional areas of Oracle B2C Service, it is important to understand its impact in those areas before you enable it. Refer to Answer ID 5653: Areas affected by email address sharing. To enable email address sharing:  Click Configuration button on the navigation pane. Click Database. Click Email Address Sharing. Click Enabled. Â  Â A message warns you that duplicate email address safeguards will be removed. Click OK.  For more information, refer to the 'Email address sharing' section in online documentation for the version your site is currently running. Â  To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Widget Override in Customer Portal;Answer ID 2832;Is there a way one widget can be overridden by another?;['Answer ID 5168', 'Answer ID 2829'];   Customer Portal;"  There is a Customer Portal framework improvement that allows the standard or custom widget folder designation in the code that calls a widget Â to Â now be optional. When a path is not specified, the custom folder is searched first; if there is a widget by that name in the custom folder, the custom widget is called rather than the standard one. This lets you replace a Oracle B2C Service standard widget with a customized one that uses the same name, so you do not have to find and replace all calls to the new widget within all pages and other widgets. When a path to the custom or standard folder is specified, the code continues to support it. For more information on widget overriding, please refer to the Customer Portal manual. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products. Customer portal conforms to accessibility standards, and uses new widgets to comply with those standards. Â  For more information on accessibility, refer to Answer ID 2829: Customer Portal accessibility standards."
;;;;;
Dynamic Merge Reports;Answer ID 2834;What is a dynamic merge report?Ã‚Â  How can I change the style and class settings?;['Answer ID 2195'];   Merge Report, Mailings, Surveys Oracle B2C Service, All versions;  A Merge Report button has been added to the Dynamic Content section of the toolbox when editing HTML and text content within a mailing/survey. When you click this button, the Report Merge window opens where you can select a report to include in your content, edit its display properties, and set a default value to be used when no data is returned. Â  You can also select a contact to use for filtering preview data for more accurate rendering on the content editorÃ¢â‚¬â„¢s Preview tab.  By default, report merge applies a primary filter to the report in several situations to limit the output so that customers will see only their own information. For example, if the report lists contacts and their open incidents, customers will see only their own open incidents. Primary filters are automatically applied in the following cases.  contacts.c_idÃ¢â‚¬â€Primary filter for any mailing (broadcast or transactional) and any survey invitation message. If merging a report on a web page, the contact must be recognized by click-through parameters or cookies. Important Duplicate messages sent to a single address is a common characteristic of spam. For this reason, we recommend that you select this check box only when necessary. When the check box is selected and you attempt to schedule or send a mailing, survey, or proof, and duplicate email addresses exist in your audience, a message warns you that your reputation as a bulk email sender may be adversely affected and impact your ability to send future communications. For information about protecting your reputation, refer to Email Deliverability Group (EDG) and Spam Considerations and Policy.   incidents.i_idÃ¢â‚¬â€Primary filter for any transactional mailing or survey that is sent using incident rules. Any incident merge Â field will be ignored (left blank) when used in a Broadcast Mailing.   opportunities.op_idÃ¢â‚¬â€Primary filter for any transactional mailing or survey that is sent using opportunity rules. Â Any Â opportunities merge Â field will be ignored (left blank) when used in a Broadcast Mailing.   chats.chat_idÃ¢â‚¬â€Primary filter for any transactional mailing or survey that is sent using chat rules.
;;;;;
Selecting and deselecting items when constructing rules;Answer ID 2839;In the editing of rules,Ã‚Â when there is a list of items in which multiple items may be selected, how do I select multiple items or deselect an item?;['Answer ID 5168'];   Business Rules Oracle B2C Service, All versions;"  An individual item can be selected by clicking it; to select a range of items, click an item at one end of the intended selection, hold down the shift key, and click an item at the other end.  Alternately you can click on an item in one end of the intended selection and while still holding down the left mouse button, drag it to the other end of the intended selection. To add another single item to the selection, hold the ""Ctrl"" key and click the item. Holding the ""Ctrl"" key and clicking an item will also toggle whether it is selected or not, so holding down the ""Ctrl"" key and clicking an already selected item will deselect it.  For additional information, refer to the Â Business Rules &gt; Choosing Conditions Â section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Running the Service Cloud application on Virtual Machines;Answer ID 2841;Can I run the Service Cloud application on a Virtual machine?;['Answer ID 31'];  All supported versions.; Oracle B2C Service Â Technical Support has certified various versions of the Service Cloud Â product line to be compatible with the Windows operating system. Specific version to version compatibility information can be found here Answer ID 31: Oracle B2C Service Infrastructure Requirements. Â  Service Cloud Technical Support does not test or certify the Â Oracle B2C Service applications on specific hardware and does not support any particular OS/Hardware/Virtual machine combination. There are not any anticipated problems with running the Service Cloud application on any legitimate copy of a compatibly versioned Windows operating system, regardless of where that operating system is running. Therefore, if your VM environment, such as VMware for Linux Â or Parallels for Macintosh, is set up to run a compatible version of Windows, you should experience no issues with the Service Cloud application. However, the same limitations for bandwidth, memory allocation, and CPU allocation apply to all client instances, whether or not they are on physically separated or virtually separated environments. Additionally, the environmental constraints for your general network configuration (proxy server/firewall configuration/packet shaping) as detailed in the Oracle B2C Service Infrastructure Requirements will also still apply.
;;;;;
Using the report analyzer with custom reports;Answer ID 2844;How can custom reports be examined in order to determine how muchÃ‚Â data they will return?;['Answer ID 5168'];   Analytics, Analyzing report output;  The report analyzer Â is designed to check the queries that a custom report makes on Â a site's Â database. Â This tool helps your custom reports run as quickly and efficiently as possible. The report analyzer examines your report and provides suggestions as to how you can improve Â it by removing database tables, add Â­ing filters, and making other changes. The analyzer also shows you the estimated number of rows the reportÃ¢â‚¬â„¢s query may need to access so you know if the report can run without encountering row limits. Â  Please note, this is an estimate only and the estimated number of rows can actually be much higher due to aggregate functions for example. Â  Â The analyzer cannot return the Â exact number of rows because this would require it to run the entire query (which would defeat the purpose of analyzing the report before running it).   Report analyzer button in the ribbon   For additional information, refer to the 'Troubleshoot Reports with the Report Analyzer' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Deploying Customer Portal pages;Answer ID 2849;How do I deploy the Customer Portal pages I have created?;['Answer ID 5168'];   Customer Portal Oracle B2C ServiceÃ‚Â ;"  Once you have created the Customer Portal pages and have them the way you want them, you must deploy them in order for your customers to see them. Â  Â  Warning: Once you deploy your Customer Portal pages it cannot be undone easily. Â  To reinstate a previous set of pages, you would need to modify them to restore them in the development pages and then redeploy. As part of the overall deployment process, you will go through a Â staging process before deploying. Â  Â This staging process allows you to choose what files you want to deploy Â so that you don't end up deploying something that someone else was working on and had not tested. Also, after you go through the three steps of the Â staging phase you click the Stage button. Â  Â After doing this you receive a message stating that the deploy operation was successful Â  Â  Â This message is misleading, however, because the files have actually Â not been pushed to production yet. To push the files to production you actually have to select ""Promote"" from the Ribbon. Â  Â And then select the ""Promote"" button to deploy to production. The steps to deploy Customer Portal pages are as follows:  Go to: Â  Â Configuration &gt; Site Configuration &gt; Customer Portal Select the interface In the Ribbon bar, select ""Stage"" (NOTE: Â  Â There is not Â a Deploy button on the Ribbon) Move through the three steps of the staging process (selecting Next after each step) Â  Â Note: For each file listed you can choose ""No Action"", ""Copy to staging"" or ""Remove from staging"" Select the ""Stage"" button once the three staging steps are complete In the Ribbon, select ""Promote"" Select the ""Promote"" button to deploy to production    For additional information, refer to the Â How You Stage and Promote the Customer Portal Â section in online documentation for the version your site is currently running. Â To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Using word boundaries in rules: Avoid matching text that is part of another word;Answer ID 2851;A string that I wish to match in a regular expression is also part of another word that I do not wish to match.;['Answer ID 1976', 'Answer ID 861'];  Business Rules All versions;" You may wish to find a character string using rules and then perform some action (e.g. queue routing, assignment, set status, etc...). Â  Â It is best to use a regular expression operator in your rules to do this (which is highly recommended over the ""Contains"" operator). For instance, if you were looking for the words ""Jump"", ""jumped"", ""jumping"" in incoming emails, you could put the string 'jump' into the regular expression condition and find all of these. In other cases (e.g. spam or profanity rules), you have a string that you wish to filter that also will show up as part of another word that you do not wish to filter. Â  Â For instance, the words ""assistance"" or ""assume"" would often be filtered if a profanity rule with a regular expression had the first three letters of these words. Â  Â This type of spam/profanity rule is common and causes many valid emails (containing the words ""assistance"" or ""assume"") to be filtered. How do we get around this? Â  Â We have to take a different approach in the regular expression. Â  Â This involves the use of a word boundary around the regular expression string. Â  Â When using a word boundary in a regular expression, the regex engine looks for the string that you specify, but will only match it if it is surrounded on both sides by any ""non-word character"" (i.e. a space, dash, or a special character (!$%^.&lt;&gt;*|()?/\ : ;)). Please note that alpha-numeric characters and underscores are considered word characters. A word boundary allows you to effectively match only the regular expression string, but not match other words that contain that character string (e.g. not match ""assistance""). The format of a word boundary for the RightNow regular expressions engine looks as follows:  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â [[:&lt;:]]word_here[[:&gt;:]] For users of Â May 2017 version of the product Â the word bound is:  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  \&lt;word_here\&gt; NOTE: There are no spaces within or on either side of the word. The RightNow product uses ""ereg -i"" regular expression engine. Â  Â The -i option makes the regular expressions pattern matching case insensitive (i.e. upper and lower case will match the same). Â  Â This means that the regular expression [[:&lt;:]]jump[[:&gt;:]] matches Jump, JUMP,JuMp, etc... Â  Â Because of the word boundary tags around jump this would not match ""jumped"". Â  Â In this example the 'p' in jump is next to the word character, 'e'. Â  Â In the profanity example above, the words ""assistance"" or ""assumption"" would not be filtered if you put the first 3 letters into a word boundary in a profanity rule. To help ensure that you are not filtering emails/updates it is highly recommended that you test your regular expressions once you have put them in place so that you do not filter valid emails unintentionally. Â  Â Additionally, it is very important to have an address in the ""Send Rejected Messages to"" field on the incoming tab of the mailbox settings. Â  Â More on this can be found in the following answer: Â  Answer ID 1976: Accessing discarded email messages For more information on regular expressions, please refer to Answer ID 861: Rule is matching an incorrect expression.  "
;;;;;
Understanding and Troubleshooting Answer Score and Weight;Answer ID 3117;How are answers scored and weighted within the answer list page or search results?;['Answer ID 790', 'Answer ID 5874', 'Answer ID 1346', 'Answer ID 2379', 'Answer ID 409', 'Answer ID 1771', 'Answer ID 4239', 'Answer ID 2258', 'Answer ID 1301', 'Answer ID 4692', 'Answer ID 1660', 'Answer ID 2307', 'Answer ID 2492', 'Answer ID 4145', 'Answer ID 2234', 'Answer ID 1355', 'Answer ID 1154', 'Answer ID 1222', 'Answer ID 1733', 'Answer ID 1447', 'Answer ID 5168'];   Knowledge Foundation Answers, Score, Solved Count, Weight, Display Position Oracle B2C Service, all versions;"  The score is calculated from the static score and the solved count from both customers and agents, including a combination of long-term and short-term solved counts. By default, solved counts from the web portal (customer's experiences) account for 75 percent of the score, and agent scores account for 25 percent.  Â Over time, an answer's solved count gradually declines as it is viewed less frequently. The weight (also called matched weight) of an answer or incident is calculated when a text search is performed. It is based on the frequency of keywords or phrases included.  Â The location of the keyword or phrase also matters. For example, words in the Subject or Summary weight higher than those appearing in the answer or threads fields. Below are resources to help understand the answer score and weight, along with Â related terms: Methodology behind the answer score value Long-term and Short-term solved counts Comparing the weight, score and computed score  Within the application, there are configurable options to influence the display order and weighted value of answers.  Â Refer to the following for more information: Optimal sort order for published answers on the Moving a public answer up or down in the display order Affecting the weight used with search results Answer Search Bias Always listing an answer first in the search results  Additional elements that can have an impact on search results are as follows: Keywords field when editing answers Alias words increase search weight Adding synonyms to be used when searching for answers Enabling Other Suggested Searches on the end-user pages Configuring Search Priority Words and Recommended Documents Tuning the stopword list Suggesting spelling corrections and common word usage for end-user searches  Occasionally, unexpected search results can occur.  Â Expand each section below to find more information on identifying and resolving each behavior. Click the next to the appropriate heading below to expand that section for viewing.  When I searching on our site, why don't the best matches appear at the top of the list of results?  Issue: Search results do not appear to have the strongest matches listed at the top. Resolution: This can be an indication that search results are not being sorted by the proper field as set by the report for that page.  Â Refer to Â Answer 1355: When searching, best matches do not appear at the top of the search results Â for information to resolve.  Why do results include answers that do not include the word or phrase I searched for?  Issue: Answers are returned that do not include the phrase searched on. For example, when searching our site for the word ""indices"", several answers are listed, but many do not include that word. Resolution: This can be a result of excluded words being matched or word-stemming being applied. Refer to Â Answer 1154: Getting more answers than expected when searching end-user pages Â for more information on these functions.  Why are search options different for answers and incident in the console?  Issue: Options for phrase searching are different in the console for answers than they are for incidents. Resolution: By design, different search techniques provide better search results for answers versus incidents. For more information on these techniques, refer to Â Answer 1222: Searching differences between answers and incidents. Â   To help avoid or minimize the impact of having unexpected results, we encourage our customers to review the following Best Practices resources: Answer 1733: Best Practices for setting up your knowledge base of answers Answer 1447: Tips and Best Practices for maintaining answers  If you are unable to resolve a related issue or the application is not functioning as described in the answers above, please refer to online documentation or submit a service request to Ask Technical Support.  Â You can also post questions and collaborate with other customers and staff within the Oracle Cloud Customer Connect Â Knowledge Management Forum. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Cobrowsing from incident workspaces and the CobrowsePremium widget;Answer ID 4008;How can I cobrowse with a customer outside of a chat session?;['Answer ID 5168'];   Cobrowse;"  A Customer Portal widget allows end-user customers Â to share their desktop with agents who are helping them on the phone. The Â CobrowsePremium Â widget in the Customer Portal pageset can be placed on any enduser page in Customer Portal and is highly configurable; the widget icon, labels and new window attributes can be customized by the Oracle B2C Service administrator. For more detailed information on configuring cobrowse for the incident workspace, please refer to the Â 'Add the CoBrowsePremium widget' section in online documentation for the version your site is currently running. Â To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products. In versions February 2010 through August 2014, this widget was called the CoBrowseLink widget."
;;;;;
Real-time chat reporting;Answer ID 4009;Which chat reports are available in real time?;['Answer ID 5168'];   Chat Analytics, Real-time chat reporting Oracle B2C Service;"  Real-time reports and dashboards for chat are available. Â  All of these reports have a default refresh rate of fifteen seconds or less and are located in Public Reports -&gt; Service -&gt; Chat Reports -&gt; Real-Time Reports. Active Chat List Per Agent (ID 3037): This report displays information about active chats that are assigned to agents. Active Chat List Per Queue (ID 3039): This report displays information about active chats in queues. Chat Agent HomeÃ¢â‚¬â€œReal Time (ID 3505): Â  This dashboard is a real-time Â version of the Chat Agent Home dashboard located at Public Reports -&gt; Service -&gt; Chat Reports. Chat Agent List Per Queue (ID 3041): This report displays information about agents and their assignment to queues. Chat Agent Queue Snapshot (ID 3042): Â  This report displays information about an agentÃ¢â‚¬â„¢s current chats. Chat Supervisor HomeÃ¢â‚¬â€œReal Time (ID 3504): Â  This dashboard is a real-time alternative to the Chat Supervisor Home dashboard located at -&gt;Public Reports -&gt; Service -&gt; Chat Reports. Chat Supervisor Queue Snapshot (ID 3043): Â  This report displays information about each engagement in a queue. Current Chat Agent Statistics (ID 3036): Â  This report displays statistics for individual agents. Current Chat Group Statistics (ID 3035): Â  This report displays statistics for agent groups. Current Chat Queue Statistics (ID 3038): Â  This report displays statistics for chat queues. My Chat Agent Statistics (ID 3044): This report displays basic statistics for the current agent. Waiting Chat List Per Queue (ID 3040): Â  This report displays information about waiting chats in queues. Wrap-Up Chat List Per Agent (ID 3069): This report displays information about chats currently in wrap-up mode for each agent.  For additional information, refer to the Â 'Real-time chat reports' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Topic browse widget for Customer Portal;Answer ID 4011;Is there a way to cluster topics in the Customer Portal pageset?;['Answer ID 5168'];   Answers, Browse topic February 2010 and newer;  The TopicBrowse widget is available for the Customer Portal pageset. Â  Topic browsing is a very helpful feature that helps customers find information when they're not sure what search terms they need to use.   Topic Browse page in Customer Portal (click to enlarge) The topic tree list in the left pane is expanded to reveal subtopics. Â  Mousing over the topics display a tooltip showing the number of answers for that topic. Â  When a selection is made in this tree, the main answer area displays the answers associated with the selected topic. Â  Oracle B2C Service Â recommends that this widget be placed on its own page. The topic labels displayed on this page are configurable by using the Clustering Configuration editor. Â  This editor is accessed by clicking the Service Configuration button on the navigation pane and selecting Clustering and Browse under the Knowledge Base Configuration section. For more information on the TopicBrowse Widget Â in Customer Portal, refer to the Widget documentation Â section within Administrator Dashboard. If you need additional assistance setting up the TopicBrowse Widget, Â please contact your Sales Manager to schedule a consultation with Oracle Consulting Services.
;;;;;
